symbol,date,return,direction,move_type,avg_volume_5d,move_volume,volume_surge_pct,consecutive_increases,volume_trend_pct,avg_return_5d,volume_pattern
OPEX,2026-01-07,-23.6,DOWN,single_day,246920,822100,232.9,3,105.9,8.91,EXPLOSIVE_SURGE
ASMG,2026-01-05,11.27,UP,single_day,79000,261800,231.4,2,330.2,4.16,EXPLOSIVE_SURGE
UXRP,2026-01-05,34.91,UP,single_day,287700,945300,228.6,3,71.8,3.46,EXPLOSIVE_SURGE
INTW,2026-01-07,13.1,UP,single_day,597680,1939000,224.4,2,47.9,3.52,EXPLOSIVE_SURGE
BEX,2026-01-02,25.56,UP,single_day,209040,672900,221.9,2,90.9,-2.79,EXPLOSIVE_SURGE
YINN,2026-01-02,12.05,UP,single_day,1309100,4172800,218.8,3,98.8,-0.59,EXPLOSIVE_SURGE
PILL,2025-12-08,11.0,UP,single_day,111020,353700,218.6,2,-50.4,0.97,EXPLOSIVE_SURGE
DJTU,2025-12-19,16.09,UP,single_day,2656220,8450900,218.2,1,824.3,20.0,EXPLOSIVE_SURGE
SOXL,2026-01-02,12.4,UP,single_day,41757700,132719700,217.8,3,35.9,-1.24,EXPLOSIVE_SURGE
ADBG,2025-12-05,10.6,UP,single_day,426180,1348300,216.4,3,128.9,1.3,EXPLOSIVE_SURGE
DFEN,2026-01-05,16.89,UP,2_day,140920,439100,211.6,2,-2.7,1.31,EXPLOSIVE_SURGE
NVTX,2026-01-02,35.01,UP,single_day,60560,185300,206.0,3,27.1,-3.64,EXPLOSIVE_SURGE
HOOW,2025-12-11,-10.85,DOWN,single_day,257840,787800,205.5,1,-27.5,-0.2,EXPLOSIVE_SURGE
NVTX,2026-01-06,25.21,UP,single_day,111800,336000,200.5,2,132.2,11.84,EXPLOSIVE_SURGE
LABU,2026-01-07,10.36,UP,single_day,602380,1803000,199.3,2,102.3,0.21,EXPLOSIVE_SURGE
ADBG,2026-01-05,-10.67,DOWN,2_day,274920,814300,196.2,2,84.9,-2.93,EXPLOSIVE_SURGE
ROBN,2025-12-11,-18.26,DOWN,single_day,698980,2069800,196.1,2,-17.0,-0.47,EXPLOSIVE_SURGE
LABX,2026-01-02,15.72,UP,single_day,368180,1054300,186.4,2,50.6,-1.1,EXPLOSIVE_SURGE
SMU,2026-01-05,30.1,UP,single_day,1649000,4701100,185.1,2,-30.1,5.06,EXPLOSIVE_SURGE
MULL,2025-12-18,20.23,UP,single_day,318260,906700,184.9,2,0.8,-6.7,EXPLOSIVE_SURGE
HOOG,2025-12-11,-18.13,DOWN,single_day,203680,579300,184.4,2,-16.4,-0.46,EXPLOSIVE_SURGE
CRWL,2026-01-07,10.56,UP,single_day,93520,265000,183.4,1,91.2,-2.04,EXPLOSIVE_SURGE
QUBX,2026-01-05,16.8,UP,single_day,177140,500800,182.7,2,-27.7,1.56,EXPLOSIVE_SURGE
NBIG,2026-01-06,16.2,UP,single_day,379860,1064600,180.3,2,149.3,3.84,EXPLOSIVE_SURGE
UXRP,2026-01-02,16.46,UP,single_day,197400,552600,179.9,3,21.5,-0.6,EXPLOSIVE_SURGE
SMUP,2026-01-05,30.29,UP,single_day,1633900,4519800,176.6,2,-16.4,5.1,EXPLOSIVE_SURGE
NVOX,2026-01-05,10.73,UP,single_day,526060,1432500,172.3,2,-29.1,-0.07,EXPLOSIVE_SURGE
LABX,2025-12-12,-29.47,DOWN,single_day,794240,2155200,171.4,2,-37.9,3.94,EXPLOSIVE_SURGE
OPEX,2026-01-09,28.6,UP,single_day,474780,1279200,169.4,3,143.5,3.44,EXPLOSIVE_SURGE
BABX,2026-01-12,20.29,UP,single_day,887160,2368465,167.0,2,4.5,-1.65,EXPLOSIVE_SURGE
BMNG,2026-01-02,28.93,UP,single_day,3608180,9324200,158.4,2,-10.6,-3.91,EXPLOSIVE_SURGE
GMEU,2025-12-10,-11.18,DOWN,2_day,568760,1468300,158.2,2,6.2,-0.23,EXPLOSIVE_SURGE
BEX,2026-01-08,25.62,UP,single_day,586220,1513000,158.1,3,54.5,11.34,EXPLOSIVE_SURGE
APLX,2026-01-08,14.84,UP,single_day,553480,1415500,155.7,2,15.6,10.24,EXPLOSIVE_SURGE
SMUP,2026-01-06,41.08,UP,2_day,2112460,5398300,155.5,3,64.0,13.95,EXPLOSIVE_SURGE
APLX,2026-01-02,29.73,UP,single_day,262620,669900,155.1,2,56.3,-2.48,EXPLOSIVE_SURGE
NFLU,2025-12-08,-12.26,DOWN,2_day,210640,536100,154.5,2,606.6,-4.2,EXPLOSIVE_SURGE
JOBX,2026-01-05,23.16,UP,single_day,141380,359700,154.4,2,-29.9,1.66,EXPLOSIVE_SURGE
ETHT,2026-01-02,11.04,UP,2_day,926080,2340400,152.7,2,-16.5,0.53,EXPLOSIVE_SURGE
PLTW,2025-12-19,10.73,UP,2_day,235840,596000,152.7,3,13.3,0.1,EXPLOSIVE_SURGE
